marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,52886527,R2LP6AMJQW1KDV,B005K2TXMO,559201642,FiiO D3 (D03K) Digital to Analog Audio Converter With Micca 6ft Optical Toslink Cable - 192kHz/24bit Optical and Coaxial DAC,Electronics,5,0,0,N,Y,Easy installation and setup - use USB on your TV for power if you can,"Appears to work just great. Used it to connect my LG 55LB6100 TV (which only had digital optical out and poor speakers in the TV), to my Onkyo 8255 receiver (RCA inputs).  I connected the FiiO USB power connect into one of the USB ports on the TV so it only powers on when the TV is on; hopefully this will help with issues I read in other reviews with it dying early from being left on and overheating.",2015-08-31
US,15280140,R2WTXV596WTY43,B00RFLXB9Y,251695655,1byone OUS00-0565 Shiny Antenna Super Thin HDTV Antenna with 16.5ft High Performance Coaxial Cable,Electronics,5,0,0,N,Y,Five Stars,"Works great in Charlotte, NC. Received all the major networks crystal clear. Highly recommend :)",2015-08-31
US,47168432,R37HSPTMCUJUN4,B00YOZ3APY,13702341,[New Generation] Portable ZHPUAT PU Leather Carrying Hard Case for iPod MP3 Earphone Headphone (Black),Electronics,5,0,0,N,Y,Headphones Case is great,This case is perfect for my Symphonized NRG Premium Headphones. It's small and the colors match the headphones perfectly,2015-08-31
US,47537250,R20TC495KA8WVA,B00990Z4W6,57455227,"Crosley CR8005D-BK Cruiser Deluxe Portable 3-Speed Turntable with Bluetooth, Black",Electronics,1,1,1,N,Y,Not happy at all,We bought this for my daughter for her birthday in July.  She turned 13.  She played it 3 times with the new albums she got for her birthday.  She went to listen to some more new albums she bought and it didn't work.  The turntable would not turn!!!  I went to replace this item and I was literally 5 days from the last chance date that I had to return this item.  Not happy at all.  Now she is upset!!!,2015-08-31
US,28453953,R2DIL9Q4UDW8MB,B000HDONV2,80976435,"CableWholesale 12-Feet 2 RCA Male/2 RCA Male, Audio Cable (10R2-02112)",Electronics,5,0,0,N,Y,fast delivery,works as expected; well made cable.,2015-08-31
US,23429417,R2BETE7J7531X5,B0091JZ8T4,832561883,OrigAudio Rock-It 3.0 Portable Vibration Speaker System for iPod iPhone and Standard 3.5 mm Jack,Electronics,5,0,0,N,Y,Best price and fast shipping,Best price and fast shipping. Great speaker. Very portable - nice to carry around. Try it - You'll like it!!,2015-08-31
US,14380991,R1FBO737KD9F2N,B00NG57H4S,213020860,Sony MDRZX110 Noise Cancelling Headphones,Electronics,5,19,23,N,Y,Great noise cancelling headphones for the price!,"Great pair of headphones for the price. If you've ever taken an overnight flight and had trouble sleeping because of the ambient noise, it's amazing what a little noise reduction can do. You can use these headphones without even plugging them in, just for the noise reduction. On the other hand, they sound pretty good as well. I found these phones comfortable enough to wear for several hours straight. All in all, a good investment in peace and quiet!",2015-08-31
US,11007967,R2U862KUIMSXXA,B000N5YF9Y,6627090,"Tripp Lite HDMI Extender Equalizer, Active Repeater for Video and Audio 1920x1200,1080p at 24Hz (HDMI F/F)(B122-000)",Electronics,1,0,0,N,Y,One Star,Did not help my problem.,2015-08-31
US,13775565,R2P9FU54T7W64J,B00DJG809K,344957619,APC Back-UPS NS 600VA 8-Outlet Power-Saving UPS,Electronics,5,0,3,N,Y,Five Stars,Great product.,2015-08-31
US,5217244,R1XHPS2RT3FOYX,B001QNBUA4,483594763,"VideoSecu Universal Satellite Speaker Mounts / Brackets for Walls and Ceilings (White,Black Available)",Electronics,5,0,0,N,Y,Five Stars,Great mounts worked perfectly for my surround sound. ....a must buy,2015-08-31
US,10051428,R315Z1T26EA8YK,B003EM6AQE,921315865,Panasonic ErgoFit In-Ear Earbud Headphone,Electronics,5,0,0,N,Y,Great In-Ear Headphones!,I LOVE THESE HEADPHONES! I am totally satisfied with the sound and the fact that they stay in my ears! They are great...and I love the color of course. :),2015-08-31
US,107883,R2UFF8TFNORV6Q,B00006L4F1,964934589,"Tripp Lite 6 Outlet Surge Protector Power Strip 2ft Cord & $2,500 INSURANCE (TLP602)",Electronics,5,0,0,N,Y,Cheap and good,Cheap and good,2015-08-31
US,16338922,RSWFOJS7NG1IW,B010GPCEWU,387523927,Husky Mount™ 24 - 65 Inch Tilt Flat TV Wall Mount. Low Profile TV Bracket Fits most 24 32 39 40 42 47 52 55 60 65 Inch LED LCD Plasma Flat Screen. With VESA up to 400 x 400 and 100 lbs weight capacity. Made of Heavy-Duty Steel. Comes with all necessary hardware and lifetime warranty.,Electronics,5,0,0,N,Y,Hard to beat the price. They all seem to ...,"Hard to beat the price. They all seem to work the same and be the same quality, why pay more?",2015-08-31
US,35873588,R2TUQA7EVUCJYU,B007ZHXFJY,76971192,8 Pack Panasonic NiMH AAA Rechargeable Battery for Cordless Phones,Electronics,5,0,0,N,Y,Fully charged.,"Phones were dead prior to replacing them with these new replacement batteries,",2015-08-31
US,2340234,R3MGEU0Q761NSM,B00TY7YXYY,484292769,"Headphones, Sound Intone I66 Metal Earphones with Microphone, Bass Earbuds with Remote, Noise Isolating, Cute In Ear Headphones for Kids, Adults, Compatible for iPhone, Android, Ipad, MP3/4",Electronics,2,0,3,N,Y,Two Stars,Horrible,2015-08-31
US,20402068,RTDOEGCB6EQ5E,B0111Y2BW8,761797447,"White EZCast i5+ DLNA Airplay Miracast HDMI WiFi Display Dongle, 1080P EZCast Wireless Display HDMI Dongle TV Receiver Adapter for Iphone Ipad Samsung Galaxy Android Smart Phone Tablet",Electronics,3,0,0,N,Y,"It's just OK, but cheaper than Chromecase","I've decided to keep the item.  the ezcast is not quite as good as Chromecast with most features, but it's cheaper and has a couple of features that I actually like a little better than Chromecast (actually works with Firefox for HTML 5 video).  Also, the setup goes pretty smoothly which is a plus (maybe even better than Chromecast).  Just how secure it is remains to be seen.  Something tells me that this Chinese company that manufactures it, lets the device be vulnerable to hacking, but we'll see.  The support site for the Windows app is in Chinese as best I can tell, and not conducive to North American customers, but hopefully that gets improved soon.",2015-08-31
US,143935,R3GWX8AYXWO5ZE,B00GHQMZ7W,318981354,Brookstone - SoundShield Noise Cancelling Stereo Headphones,Electronics,4,0,0,N,N,... and being an active traveler they have held up pretty well. Comfortable for long flights and still have ...,Bought these a year ago and being an active traveler they have held up pretty well. Comfortable for long flights and still have 100% noise cancellation,2015-08-31
US,46780686,R3NMIM9D8VNGI7,B00DDULUIA,938537972,Twisted Veins Three (3) Pack of HDMI 90 Degree/Right Angle Connectors/Adapters,Electronics,5,0,0,N,Y,Five Stars,great products! good buy! works great!,2015-08-31
US,2821382,R25RF82T48R20E,B00B20M8CU,75944794,American Red Cross ZoneGuard Weather Radio,Electronics,5,0,0,N,Y,Love this radio,Love this radio. It alerts the whole family when any form of weather changes. Plus you can have one in each room.,2015-08-31
US,657440,R1IUHD431Q5MSB,B00AY98USQ,135712681,Lastest Apple TV 4 - Apple TV 4th Generation Wall Mount 2015,Electronics,5,0,0,N,Y,Five Stars,Fits my tv perfectly,2015-08-31
US,11990894,R2MXU8IVR1Q1S5,B00SQ94K7Q,783049725,"SOUNDXL Blackout C-Series Bluetooth Wireless Waterproof Speaker for iPhones, Android, Tablets, Smartphones and MP3 Speaker",Electronics,5,1,1,N,N,Perfect gift for everyone on your list or treat yourself! Great quality!,Enjoy crystal clear clarity sound with this product!  Super great quality! Highly recommended! Would make a perfect gift for anyone or for yourself!!,2015-08-31
US,50179212,R1OQI7VXCRT3OY,B004FEEY9A,494827590,Sennheiser Headphones,Electronics,5,1,1,N,Y,Great Sounding Headphones,Bought these headphones a week ago and I love them. These are the most comfortable headphones I've ever owned. Feels so comfortable even listening for many hours. I own a pair of Audio Technica M50x and these for me are much better. They are much more open and a pleasure to listen to any music. I listen to music mostly on my iPad and have a subscription to Tidal premium musi service right now. The clarity of the music is amazing. These headphones also are a great bargain at $108.99 on Amazon. I'm very happy with my purchase.,2015-08-31
US,7063270,R3QLZUL02LTP06,B00MRUX9IG,684454145,"Comply Foam Premium Earphone Tips - Isolation T-100 (Multi-Color, 3-Pairs, Large)",Electronics,2,0,0,N,N,Happy For about 4 weeks using these in the gym,Happy For about 4 weeks using these in the gym. The tips then lost the sponginess and then teared over time. I kept my headphones in a case and yet they wear out when you use them after a few weeks.,2015-08-31
US,19999618,R1VOQNUWRW7EKM,B003O1UYHG,975283485,VideoSecu Full Motion Articulating Tilt TV Wall Mount Bracket,Electronics,2,0,0,N,Y,Not that great...,"I am having a hard time getting the nut tight behind the mount for the monitor. It seems tight, but the monitor still pivots left and right way to easy. I also see lots of people complaining whey they tried to get it really tight they broke the mount.  I have used better mounts that are only a few dollars more. Spend a little more and get a decent mount.",2015-08-31
US,7260378,R9XIRRPMX4Q64,B003L1ZYYM,617978254,"AmazonBasics High-Speed HDMI Cable - 6.5 Feet (2 Meters) Supports Ethernet, 3D, 4K and Audio Return",Electronics,5,0,0,N,Y,Five Stars,Does the job.,2015-08-31
US,52227876,R1E1B8JKY05L42,B00Z91VF4U,367056402,"G.G.Martinsen 32 GB Mini Usb Port Slim Small Multi-lingual Selection 1.78 LCD Portable Mp3/Mp4, Mp3Player , Mp4Player , Video Player , Music Player , Media Player ,Audio player With Photo Viewer , E-book Reader , Voice Recorder, Games & Movie-Black",Electronics,1,0,0,N,Y,Does not play .wma,"Junk - will play MP3, but not WMA, even though the instructions it comes with says it will.  When you try to play WMA, you get &#34;FORMAT ERROR!&#34;.  My wife bought for a birthday present, by the time I opened it, I can no longer return it.  Instructions do not match player, menu, like everyone else said, is not intuitive.  To select something, you push &#34;Menu&#34;, when you would expect to push the button in the middle.  Aggravated with this player AND Amazon!",2015-08-31
US,33972520,R99E5GE71NOWK,B00XVQ0PCS,220816069,"iDeaUSA Wireless Speaker, Bluetooth 4.0 Bass Speaker, Subwoofer and Boombox Outdoor Speaker, with Mic for Hands Free Calling, NFC Supported for IOS and Android Smartphone and Tablet (Black&Red)",Electronics,5,0,0,N,N,Wonderful for bicycles,Our family loves to go bike riding but i get bored after a while. I got a free trial of these Taco speakers and took them along one time when i rode for a while. Put on my favorite jam and jammed out to the amazing music.,2015-08-31
US,37112382,R39F83BH6Z7G8R,B003REE3CW,764169830,Ac Power Adapter Charger for Zenith Zpa-314 Zpa-315 Dvp7771 Dvp615 Zpa314 Zpa315,Electronics,5,0,0,N,Y,Five Stars,"Item as described , fast delivery",2015-08-31
US,45063970,RF1TWQWW6KMN2,B00I05EFLM,822761909,Sony  Digital Media MP3 Player,Electronics,1,3,3,N,Y,I got these and used them a couple o times ...,"I got these and used them a couple o times to swim. However, a few months after my purchase, I felt that one side was louder than the other. I turned them around and discovered that I'm not the one with a malfunction, but its this gadget somehow looses strength on one side. I bought these to replace my previous Sony Walkman, that suffered from the same malfunction. My conclusion is this: the Sony Walkman NWZW273S does NOT work!",2015-08-31
US,11818826,R3VMTF946JTPW7,B001TXUU98,789885378,110V-240V AC to 12V DC Power Adapter Converter US / Universal AC-DC Power Socket Adapter Converter - Use Car Chargers in 110V AC Wall Outlets,Electronics,1,0,0,N,Y,Poor quality,did not support my xm radio it does not produce 12 v dc more like 8.5 v dc. they also have a no return policy go figure.,2015-08-31
US,46301284,R1KQDNGX4MM30H,B00DCKROK4,625220315,"Accell D080B-014K 6 Outlet 5V, 2.1A Powramid Power Center and USB Charging Station, White",Electronics,5,0,0,N,Y,Solid!!!!,Solid product no complaints.,2015-08-31
US,32934525,RRRC8OQ11S1Z4,B00EZGB4GO,171665535,Sony 120 Watts Music System,Electronics,2,0,0,N,Y,Only 2 starts,"Has great features like iPod dock and USB port, but the sound is so unclear.<br />I am very disappointed",2015-08-31
US,46429440,RWKHXQ684SKU6,B00ZUVFGNA,881912642,iGadgitz Al Series Bluetooth Speakers [The Cube],Electronics,5,0,0,N,N,Very Small Speaker with Great Sound,"[[VIDEOID:3bdd17778455ef097fcffb1d018022b6]] There is a good variance in Bluetooth speakers, from physical design, extras in the box and sound quality. Not all speakers are worth your time and money. This little Cube speaker by iGadgitz is a very interesting speaker; it may be little but it has big sound and it works very well. I did find one potential issue when it comes to the range of operation that I will describe below.<br /><br />This is one of the smallest speakers I have seen and used. In spite of its size, it is a solid and hefty little speaker, weighing more than you'd expect. In my mind this is a good sign: it means that there is more to this little speaker than a cheap little speaker and a sub-par receiver. To be honest I was a little skeptical that it would put out good sound when I first saw this speaker. It has pleasantly surprised me (more on that shortly).<br /><br />This speaker pairs and connects very easily. When it is in discoverable mode it identifies itself as \\""Xquare 2\\"". I had no issue with it pairing to my phone and once connected it remained connected without issue.<br /><br />The range on this speaker is good and I have been able to carry it from the source to a distance between 20' - 30' before it began to stutter or cut out. I have seen speakers that have more range but the majority of them fall into this threshold. Now, that said I need to mention an issue that came up in testing that should be kept in mind. If the speaker is sitting such that the switch and controls are facing down (that is, the control side is on the flat surface where it is sitting) the range is cut very dramatically. With the speaker sitting that way the range dropped to about 6' before it started cutting out. It did not seem to matter if it was the speaker that was moving away from the source or the other way around.<br /><br />I loaded up some music and played it through this speaker and was pleased with the outcome. The speaker has no problem with playing at higher volume, without distortion or \\""washing out\\"". The profile is very good too - the bass is strong and slightly elevated but not overkill, the midrange is very good and the music has depth as a result, and the highs are bright and crisp. For such a small speaker, this one produces better-than-expected sound.<br /><br />This is one of my favorite Bluetooth speakers. It is very small but it has excellent sound and is made very well. The size makes it placeable in areas where other speakers are too bulky to fit. This speaker proves that smaller speakers can have great sound and it's worth its asking price.<br /><br />Disclaimer: I was provided a sample of this product in exchange for a fair, honest and thorough review. Even though I received this product at no cost I have rated and reviewed this product without bias, based solely on my experience with it.er volume, without distortion or \\""washing out\\"". The profile is very good too - the bass is strong and slightly elevated but not overkill, the midrange is very good and the music has depth as a result, and the highs are bright and crisp. For such a small speaker, this one produces better-than-expected sound.<br /><br />This is one of my favorite Bluetooth speakers. It is very small but it has excellent sound and is made very well. The size makes it placeable in areas where other speakers are too bulky to fit. This speaker proves that smaller speakers can have great sound and it's worth its asking price.<br /><br />Disclaimer: I was provided a sample of this product in exchange for a fair, honest and thorough review. Even though I received this product at no cost I have rated and reviewed this product without bias, based solely on my experience with it.",2015-08-31
US,15549681,R1ZID06Z5V2TNO,B00DHKKI16,789810342,Mohu Leaf 50 Indoor HDTV Antenna (Certified Refurbished),Electronics,5,0,0,N,Y,Save some money,My son gets 41 channels in Hickory NC. He is well pleased.,2015-08-31
US,14114728,R1XKK88C4LWIKL,B00LTG0NCY,21023242,"Soundance® Bluetooth Speakers with Base Resonator, FM Radio, Built-in Mic, LED Display, Support 3.5 mm Audio Jack, Micro SD card & USB Input",Electronics,5,0,1,N,N,Five Stars,"I bought this as a gift, and the recipient loves it.",2015-08-31
US,462252,R39ITSI7RJ8894,B00RSUFT5G,297234572,"Bluetooth Earphones, TaoTronics Bluetooth Wireless Earphones Sport Headphones Earbuds Headsets (Bluetooth 4.0, Delicate Sound, Build-in Mic, 6 Hours Playtime, CVC 6.0 Noise-Cancelling)",Electronics,3,0,0,N,N,Three Stars,More or less.,2015-08-31
US,41720710,R2Q5AMC4M8VH40,B00YNI7G8O,709285816,"HDMI Cable 15 FT - Braided Cord - 4K HDMI 2.0 Ready - High Speed - Gold Plated Connectors - Ethernet / Audio Return Channel - Video 4K UHD 2160p, HD 1080p, 3D - Xbox PlayStation PS3 PS4 PC Apple TV",Electronics,5,0,0,N,Y,Great product for a crazy cheap price,These are like HDMI on steroids.  Very well constructed cables.  Nothing cheap about them and the price was really good too.  I'd buy more of these in a heartbeat,2015-08-31
US,41146239,R1VQLRTMIBDRDT,B00C7JIBN0,479916274,ARCTIC P253 BT - Bluetooth,Electronics,3,0,0,N,Y,good sound but...,"well, it is a pain to have a odd charging cable and to also remember how to pair it to another phone.  Keep the instructions around, you will need them",2015-08-31
